353	218	101394.00	26.20
353	213	101397.00	26.20
354	216	101396.00	26.20
356	216	101396.00	26.20
356	225	101389.00	26.20
355	217	101394.00	26.20
354	217	101393.00	26.20
354	217	101395.00	26.20
355	213	101392.00	26.20
356	219	101394.00	26.20
359	219	101387.00	26.20
361	219	101392.00	26.20
363	219	101398.00	26.20
365	219	101397.00	26.20
368	219	101389.00	26.20
370	220	101388.00	26.20
372	209	101387.00	26.30
374	212	101395.00	26.20
376	216	101391.00	26.20
378	216	101394.00	26.30
382	214	101389.00	26.30
386	213	101394.00	26.30
391	213	101395.00	26.30
394	214	101391.00	26.30
401	214	101393.00	26.30
407	218	101396.00	26.30
410	217	101388.00	26.30
411	218	101390.00	26.30
413	218	101392.00	26.30
418	208	101387.00	26.30
424	213	101390.00	26.40
429	214	101391.00	26.40
430	214	101397.00	26.40
431	214	101399.00	26.40
433	213	101394.00	26.40
437	214	101386.00	26.40
443	211	101399.00	26.40
445	214	101384.00	26.40
451	213	101387.00	26.40
456	214	101386.00	26.40
462	213	101389.00	26.40
464	213	101386.00	26.40
470	217	101392.00	26.40
475	200	101387.00	26.40
478	208	101390.00	26.40
483	208	101391.00	26.40
486	209	101391.00	26.40
490	208	101391.00	26.40
494	207	101392.00	26.40
497	208	101388.00	26.40
503	208	101389.00	26.40
506	209	101391.00	26.40
511	208	101391.00	26.40
512	204	101389.00	26.40
513	207	101385.00	26.40
514	209	101389.00	26.40
515	208	101389.00	26.50
518	208	101385.00	26.40
521	205	101382.00	26.50
525	206	101389.00	26.50
526	208	101392.00	26.50
529	206	101390.00	26.50
531	207	101381.00	26.50
532	208	101381.00	26.50
535	207	101389.00	26.50
537	205	101383.00	26.50
541	205	101391.00	26.50
541	205	101390.00	26.50
542	207	101386.00	26.50
544	205	101391.00	26.50
546	206	101383.00	26.50
547	207	101393.00	26.50
549	206	101382.00	26.50
552	206	101386.00	26.50
553	204	101387.00	26.50
556	200	101391.00	26.60
557	198	101385.00	26.50
558	200	101385.00	26.60
560	201	101385.00	26.60
561	203	101386.00	26.60
564	204	101391.00	26.60
567	204	101383.00	26.60
570	205	101389.00	26.60
572	203	101384.00	26.60
577	203	101388.00	26.60
583	202	101390.00	26.60
587	203	101387.00	26.60
592	204	101394.00	26.60
593	206	101387.00	26.60
591	202	101394.00	26.60
590	203	101389.00	26.60
593	202	101390.00	26.60
595	202	101391.00	26.60
598	202	101388.00	26.60
601	202	101394.00	26.60
603	203	101387.00	26.60
604	203	101389.00	26.60
604	202	101388.00	26.60
605	202	101387.00	26.60
608	202	101393.00	26.60
611	203	101391.00	26.60
613	204	101391.00	26.60
614	204	101388.00	26.60
616	201	101391.00	26.60
618	203	101393.00	26.60
621	203	101393.00	26.70
622	202	101396.00	26.70
623	203	101391.00	26.70
625	204	101396.00	26.70
627	203	101396.00	26.70
631	204	101394.00	26.70
633	203	101394.00	26.70
635	203	101392.00	26.70
636	199	101393.00	26.70
640	202	101392.00	26.70
644	203	101390.00	26.70
646	204	101390.00	26.70
650	201	101390.00	26.70
657	197	101392.00	26.70
661	201	101392.00	26.70
662	200	101397.00	26.70
664	199	101388.00	26.70
670	202	101396.00	26.70
672	200	101389.00	26.70
673	200	101394.00	26.70
673	196	101395.00	26.70
675	197	101390.00	26.70
680	197	101395.00	26.70
684	197	101388.00	26.70
690	198	101391.00	26.80
693	202	101395.00	26.70
698	199	101392.00	26.70
701	198	101390.00	26.70
703	196	101396.00	26.80
705	198	101399.00	26.70
708	198	101399.00	26.80
713	197	101393.00	26.80
717	197	101394.00	26.80
721	197	101395.00	26.80
722	198	101392.00	26.80
725	200	101389.00	26.80
728	197	101397.00	26.80
727	198	101392.00	26.80
730	196	101388.00	26.80
731	198	101394.00	26.80
732	197	101394.00	26.80
733	202	101394.00	26.80
735	200	101397.00	26.80
735	199	101393.00	26.80
735	200	101394.00	26.80
735	199	101393.00	26.80
735	199	101397.00	26.80
734	198	101394.00	26.80
734	199	101390.00	26.80
735	200	101396.00	26.80
737	199	101394.00	26.80
739	199	101392.00	26.80
744	198	101393.00	26.80
745	199	101392.00	26.80
747	199	101389.00	26.90
747	199	101393.00	26.80
749	201	101390.00	26.90
750	199	101390.00	26.80
754	198	101387.00	26.90
762	199	101387.00	26.90
767	202	101391.00	26.90
770	203	101390.00	26.90
772	203	101392.00	26.90
777	199	101388.00	26.90
782	199	101388.00	26.90
784	200	101389.00	26.90
788	201	101388.00	26.90
790	200	101388.00	26.90
795	198	101393.00	26.90
797	199	101391.00	26.90
799	200	101390.00	26.90
801	201	101391.00	26.90
806	200	101396.00	26.90
809	201	101390.00	26.90
809	201	101390.00	26.90
813	201	101389.00	26.90
815	203	101388.00	26.90
818	200	101385.00	26.90
819	200	101398.00	26.90
819	201	101394.00	26.90
820	200	101391.00	26.90
821	199	101386.00	26.90
823	198	101392.00	26.90
827	199	101388.00	26.90
831	199	101388.00	27.00
832	200	101386.00	26.90
832	198	101388.00	26.90
835	197	101391.00	26.90
839	199	101386.00	26.90
841	200	101388.00	26.90
841	203	101392.00	27.00
840	201	101390.00	26.90
838	199	101388.00	26.90
840	198	101396.00	26.90
847	196	101390.00	26.90
849	197	101390.00	26.90
850	196	101396.00	27.00
851	195	101397.00	26.90
853	194	101392.00	26.90
854	197	101388.00	26.90
856	196	101391.00	27.00
857	197	101388.00	27.00
860	196	101387.00	27.00
863	197	101396.00	27.00
864	200	101390.00	27.00
867	197	101390.00	26.90
870	197	101384.00	27.00
874	197	101397.00	27.00
877	198	101397.00	27.00
879	199	101392.00	27.00
883	198	101390.00	27.00
884	198	101387.00	27.00
888	199	101391.00	27.00
890	201	101391.00	27.00
